Price,Year,Kilometer
505000,2017,87150
450000,2014,75000
220000,2011,67000
799000,2019,37500
1950000,2018,69000
675000,2017,73315
1898999,2015,47000
2650000,2017,75000
1390000,2017,56000
575000,2015,85000
591000,2017,20281
459999,2018,22541
1075000,2019,30672
1695000,2019,20856
944999,2017,41417
569000,2016,11471
449000,2019,3583
894999,2018,21365
699000,2020,30777
740000,2016,60125
470000,2020,2169
765000,2015,60240
589000,2018,13772
999000,2019,27464
370000,2019,47377
325000,2013,23086
1175000,2019,36313
351000,2014,39276
551000,2015,47752
819999,2018,27963
990000,2020,24013
925000,2016,66000
535000,2015,28000
860000,2013,67000
145000,2009,72000
409000,2018,27069
490000,2018,43000
1900000,2019,71000
3850000,2017,45600
1125000,2018,60000
2300000,2014,105101
1095000,2016,45000
1575000,2013,66000
2400000,2010,34105
525000,2015,68397
625000,2015,65000
605000,2019,27469
412000,2016,41058
625000,2016,51330
